case,config,who,fill,cover_days,orders_per_year,Service,Working capital,Planner workload,Balanced
Fast-moving distributor,EOQ ratio 10,LN only,1.0,3.037059503641657,130.55433482810164,100.0,99.15679171073458,10.281904316294288,69.8128986756763
Fast-moving distributor,EOQ ratio 100,LN only,1.0,4.035131882204517,90.46980568011959,100.0,95.42047951553417,38.928529652590925,78.11633638937504
Fast-moving distributor,EOQ ratio 1000,LN only,1.0,7.357355678614265,42.37600896860987,100.0,82.9836407127369,73.29902132803056,85.42755401358916
Fast-moving distributor,Fixed order qty 28d,LN only,1.0,13.445073335931585,12.608594917787743,100.0,60.19409737648772,94.57246461574454,84.92218733074408
Fast-moving distributor,Fixed order qty 7d,LN only,1.0,5.604968702149823,42.95433482810164,100.0,89.54375095274,72.88571762779273,87.47648952684425
Fast-moving distributor,Min-Max / Replenish to max,Both,0.8891712531148366,15.302734262827885,10.164349775784753,0.0,53.23989112372666,96.31925761297617,49.853049578900944
Fast-moving distributor,Period / Order interval 14d,Both,1.0,8.843624859477211,17.829895366218235,100.0,77.41974997186212,90.84103403906889,89.42026133697702
Fast-moving distributor,Period / Order interval 28d,Both,0.9999983764231586,16.102328634713547,9.700597907324365,99.99853505801785,50.24658696356965,96.6506803914688,82.29860080435209
Fast-moving distributor,Period / Order interval 56d,Both,0.9999817379072488,29.5245824361536,5.013976083707025,99.98352224195934,0.0,100.0,66.66117408065311
Fast-moving distributor,Period / Order interval 7d,Both,1.0,5.454361248723632,33.48288490284006,100.0,90.10755421692271,79.65454049206534,89.92069823632936
Fast-moving distributor,Requirement / Lot-for-Lot,Both,0.9999976293394336,2.81181523632049,144.94155455904334,99.99786096961931,100.0,0.0,66.66595365653977
Long-lead importer,EOQ ratio 10,LN only,0.9646138552247208,145.37838000523155,49.980187835420395,82.66635242927003,46.523233325741586,7.185796169439396,45.45846064148367
Long-lead importer,EOQ ratio 100,LN only,0.9730611512401797,163.23350172297077,38.96489266547406,87.81413293183836,35.26010226628823,30.770306165245344,51.28151378779065
Long-lead importer,EOQ ratio 1000,LN only,0.9849956093891273,219.13034021497216,21.178488372093025,95.08698934120773,0.0,68.85222983363623,54.646406391614654
Long-lead importer,Fixed order qty 28d,LN only,0.9863918804523878,195.23441169179247,8.78546511627907,95.93787664793864,15.073712685839979,95.38655109744163,68.79938014374008
Long-lead importer,Fixed order qty 7d,LN only,0.9796426485074218,156.62440894770396,23.51279069767442,91.82489605035744,39.429162510663964,63.85432685586467,65.03612847229535
Long-lead importer,Min-Max / Replenish to max,Both,0.8289617719356422,60.60318090652141,6.63072450805009,0.0,100.0,100.0,66.66666666666667
Long-lead importer,Period / Order interval 14d,Both,0.9826065444773056,131.38323324918653,19.079248658318424,93.631093661698,55.351466176879896,73.34684747658325,74.10980243838706
Long-lead importer,Period / Order interval 28d,Both,0.9869269742143032,145.49859318205205,12.363640429338105,96.26396267944423,46.447402043994714,87.72542988955682,76.81226487099859
Long-lead importer,Period / Order interval 56d,Both,0.9930576577498174,154.45205295967523,7.531797853309481,100.0,40.79949930185185,98.07073954983923,79.62341295056369
Long-lead importer,Period / Order interval 7d,Both,0.971119205928297,143.29169369871565,26.02665474060823,86.63071184711859,47.83952910472276,58.47196980287991,64.31407025157375
Long-lead importer,Requirement / Lot-for-Lot,Both,0.9677199553562492,134.14602291081465,53.3363595706619,84.55920922827951,53.60867984696625,0.0,46.05596302508192
Spare parts operation,EOQ ratio 10,LN only,0.9479748953042892,177.05692963712107,14.92843803056027,75.83847100684274,46.552118324239444,2.9086678301338043,41.766419053738666
Spare parts operation,EOQ ratio 100,LN only,0.9692270524156222,220.09142964981731,11.049151103565364,89.76428434462811,24.57694122738088,39.32518906340896,51.22213821180599
Spare parts operation,EOQ ratio 1000,LN only,0.984847758508577,268.2210248244088,5.781748726655348,100.0,0.0,88.77254217568353,62.92418072522784
Spare parts operation,Fixed order qty 28d,LN only,0.974961255201512,226.39083092229234,6.959168081494057,93.52171175394868,21.360209104875118,77.71960442117512,64.2005084266663
Spare parts operation,Fixed order qty 7d,LN only,0.9653029156155555,197.01027301600305,12.003480475382002,87.1929314083879,36.3631245100671,30.36649214659687,51.30751602168396
Spare parts operation,Min-Max / Replenish to max,Both,0.8322379496892327,72.38870082075749,4.976146010186756,0.0,100.0,96.33507853403142,65.44502617801048
Spare parts operation,Period / Order interval 14d,Both,0.9638407530998198,160.33492118122322,9.679626485568761,86.23482620725592,55.091060269076955,52.18150087260034,64.5024624496444
Spare parts operation,Period / Order interval 28d,Both,0.9742023444869231,179.0947391142384,6.79804753820034,93.02442346005712,45.51152939823593,79.23211169284468,72.58935485037925
Spare parts operation,Period / Order interval 56d,Both,0.9821413551103463,171.61700981115922,4.5857385398981325,98.22658620755206,49.329964041813845,100.0,82.51885008312196
Spare parts operation,Period / Order interval 7d,Both,0.9453144915573013,177.1456210186464,11.476740237691,74.09519921614331,46.5068288747185,35.31122745782432,51.97108518289537
Spare parts operation,Requirement / Lot-for-Lot,Both,0.9418398316148007,180.60996395957307,15.238285229202036,71.81837312653472,44.737793574467425,0.0,38.85205556700072
Seasonal wholesaler,EOQ ratio 10,LN only,1.0,15.204192762967546,74.95066510172144,100.0,98.65801096471488,9.470680762336759,69.37623057568389
Seasonal wholesaler,EOQ ratio 100,LN only,1.0,20.349137948825877,52.776486697965574,100.0,80.9194849851254,37.87174891173135,72.93041129895225
Seasonal wholesaler,EOQ ratio 1000,LN only,0.9999826854171298,43.819313272040134,24.950234741784037,99.98804801597255,0.0,73.51208984160662,57.83337928585973
Seasonal wholesaler,Fixed order qty 28d,LN only,1.0,27.547955003566436,10.104616588419406,100.0,56.09970581647254,92.52661228371804,82.87543936673019
Seasonal wholesaler,Fixed order qty 7d,LN only,1.0,18.14266225000857,28.440297339593112,100.0,88.52687925132379,69.04195778615065,85.85627901249148
Seasonal wholesaler,Min-Max / Replenish to max,Both,0.8551321451695454,31.735901510509755,7.565610328638497,0.0,41.66067969842233,95.7786150638329,45.81309825408508
Seasonal wholesaler,Period / Order interval 14d,Both,0.9984640114777312,20.0630155432763,13.47472613458529,98.93973129921307,81.90596580092382,88.21011815488167,89.68527175167286
Seasonal wholesaler,Period / Order interval 28d,Both,0.9981315968675972,27.610008991157784,7.705555555555556,98.71027072597337,55.88575868365335,95.59937081611002,83.39846674191226
Seasonal wholesaler,Period / Order interval 56d,Both,0.9985044781667214,43.03728065833139,4.269757433489828,98.96766481768582,2.696259208608953,100.0,67.22130800876492
Seasonal wholesaler,Period / Order interval 7d,Both,0.9994050292669674,16.812800070616227,22.434076682316118,99.58930106770137,93.11192223356288,76.73482825474632,89.81201718533686
Seasonal wholesaler,Requirement / Lot-for-Lot,Both,0.9996454483268654,14.814957488598678,82.34491392801252,99.7552585606037,100.0,0.0,66.5850861868679
Volatile demand,EOQ ratio 10,LN only,1.0,10.149119594304358,71.80015360983103,100.0,98.58819782286317,14.18363701321902,70.92394494536073
Volatile demand,EOQ ratio 100,LN only,1.0,12.845213761852065,46.33425499231951,100.0,89.74735249652622,46.63808503036799,78.79514584229807
Volatile demand,EOQ ratio 1000,LN only,0.9999997630345006,23.212972468980393,21.31689708141321,99.99981955673617,55.75011597052026,78.52090032154341,78.09027861626662
Volatile demand,Fixed order qty 28d,LN only,1.0,22.25158748832936,9.694086021505376,100.0,58.90262303622491,93.33333333333333,84.07865212318607
Volatile demand,Fixed order qty 7d,LN only,1.0,12.96891072803989,28.123502304147465,100.0,89.34173396933718,69.84637370489462,86.39603589141059
Volatile demand,Min-Max / Replenish to max,Both,0.8686758960032535,26.048120336319094,7.39531490015361,0.0,46.4532953794079,96.26295105394784,47.57208214445191
Volatile demand,Period / Order interval 14d,Both,0.9999571595051369,14.728108587746581,14.269201228878648,99.96737804138058,83.5730941483341,87.50267952840301,90.34771723937257
Volatile demand,Period / Order interval 28d,Both,0.9997564668395718,24.70896331322103,8.241935483870968,99.81455562762928,50.84456637112422,95.18399428367275,81.94770542747541
Volatile demand,Period / Order interval 56d,Both,0.9996093094221363,40.21446462951631,4.462980030721966,99.70249895794198,0.0,100.0,66.56749965264733
Volatile demand,Period / Order interval 7d,Both,0.9999906315733063,11.771127998447504,24.299692780337942,99.9928661788593,93.26942016603846,74.71954269381922,89.32727634623899
Volatile demand,Requirement / Lot-for-Lot,Both,0.9999858005855162,9.718578002973647,82.92956989247313,99.98918750324455,100.0,0.0,66.66306250108151
