L,fence,fill
7,60,0.8967007936444301
7,65,0.9446968167977835
7,70,0.9706511676808354
7,75,0.9680045832582036
7,80,0.9736279713906046
7,85,0.9747287154869649
7,90,0.9671940634646902
7,95,0.9699020601013715
7,100,0.9713160071622596
7,105,0.9722803801638639
7,110,0.9733929462482299
7,115,0.9728296098525117
7,120,0.9711790644264812
7,125,0.9713878522412884
7,130,0.9735491590537136
14,60,0.8959744610152742
14,65,0.9486511453718766
14,70,0.9747357560664349
14,75,0.9797922801457646
14,80,0.9822417722457765
14,85,0.9824140154222886
14,90,0.9816565712291877
14,95,0.979628359443547
14,100,0.9788032637084237
14,105,0.979027741103444
14,110,0.980711837386739
14,115,0.98135225206668
14,120,0.9808462002222215
14,125,0.981755485904748
14,130,0.9816498939612988
28,60,0.8941013226096612
28,65,0.9489187599662114
28,70,0.9717185586091318
28,75,0.9802589354602558
28,80,0.9826126232957734
28,85,0.9846142372483938
28,90,0.9866758881793949
28,95,0.9852009664002371
28,100,0.9886144971092232
28,105,0.9872825420383187
28,110,0.9877164741477065
28,115,0.9845755608821675
28,120,0.9883207807817048
28,125,0.9878998430736611
28,130,0.988624001934469
56,60,0.8971017412918673
56,65,0.9481245682423143
56,70,0.9729280686323435
56,75,0.9826381071345229
56,80,0.9845571148433773
56,85,0.9887721716368506
56,90,0.9873773326274087
56,95,0.9895232650918808
56,100,0.991722993213192
56,105,0.991782071336682
56,110,0.9928660894532757
56,115,0.9913826952192027
56,120,0.9934957667727754
56,125,0.9918873881280168
56,130,0.9921168367693134
