StockCode,lead_time,fence,shortfall,fill
90194,5,15,0,1.0
23204,5,15,0,1.0
21930,5,15,0,1.0
84564,5,15,0,1.0
22894,5,15,0,1.0
20692,5,15,0,1.0
90035A,5,15,0,1.0
51008,5,15,0,1.0
84510F,5,15,0,1.0
23192,5,15,0,1.0
37506,5,15,0,1.0
22597,5,15,0,1.0
90182C,5,15,0,1.0
84711A,5,15,0,1.0
84874B,5,15,0,1.0
85162C,5,15,0,1.0
90014C,5,15,0,1.0
21824,5,15,0,1.0
84816,5,15,0,1.0
90064B,5,15,0,1.0
22274,5,15,0,1.0
47568,5,15,0,1.0
21651,5,15,0,1.0
35265,5,15,0,1.0
90124A,5,15,0,1.0
90065B,5,15,0,1.0
90011A,5,15,0,0.9781409388987197
90024D,5,15,0,1.0
47590B,5,15,0,1.0
22361,5,15,0,1.0
23322,5,15,0,1.0
23201,5,15,0,1.0
84906,5,15,0,1.0
84563B,5,15,0,1.0
85135C,5,15,0,1.0
21471,5,15,0,1.0
85015,5,15,0,1.0
22745,5,15,0,1.0
20894,5,15,0,1.0
90016B,5,15,0,1.0
16156L,5,15,0,1.0
79323S,5,15,0,1.0
85099B,5,15,0,1.0
22487,5,15,0,1.0
22349,5,15,0,1.0
84199,5,15,0,1.0
23240,5,15,0,1.0
23307,5,15,0,1.0
22371,5,15,0,1.0
90054,5,15,0,1.0
22070,5,15,0,1.0
21801,5,15,0,1.0
23000,5,15,0,1.0
23184,5,15,0,1.0
21115,5,15,0,1.0
21277,5,15,0,1.0
21529,5,15,0,1.0
90003E,5,15,0,1.0
84251F,5,15,0,1.0
20836,5,15,0,1.0
84595E,5,15,0,1.0
37489A,5,15,0,1.0
23147,5,15,0,1.0
21274,5,15,0,1.0
82482,5,15,0,1.0
21918,5,15,0,1.0
23077,5,15,0,1.0
21085,5,15,0,1.0
84313A,5,15,0,1.0
23133,5,15,0,1.0
47505,5,15,0,1.0
23174,5,15,0,1.0
21282,5,15,0,1.0
21931,5,15,0,1.0
22365,5,15,0,1.0
82582,5,15,0,1.0
21519,5,15,0,1.0
84884A,5,15,0,1.0
21672,5,15,0,1.0
21259,5,15,0,1.0
20724,5,15,0,1.0
90023,5,15,0,1.0
20725,5,15,0,1.0
22286,5,15,0,1.0
23224,5,15,0,1.0
90162D,5,15,0,1.0
85064,5,15,0,1.0
22077,5,15,0,1.0
35637C,5,15,0,1.0
23047,5,15,0,1.0
22120,5,15,0,1.0
20727,5,15,0,1.0
21578,5,15,0,1.0
23231,5,15,0,1.0
22993,5,15,0,1.0
90042C,5,15,0,1.0
77101A,5,15,0,1.0
23109,5,15,0,1.0
84970S,5,15,0,1.0
20977,5,15,0,1.0
22027,5,15,0,1.0
21756,5,15,0,1.0
22028,5,15,0,1.0
20671,5,15,0,1.0
20975,5,15,0,1.0
22297,5,15,0,1.0
21652,5,15,0,1.0
90003C,5,15,0,1.0
22902,5,15,0,1.0
22846,5,15,0,1.0
44234,5,15,0,1.0
22554,5,15,0,1.0
20663,5,15,0,1.0
21768,5,15,0,1.0
22157,5,15,0,1.0
22107,5,15,0,1.0
90123A,5,15,0,1.0
23245,5,15,0,1.0
20762,5,15,0,1.0
23145,5,15,0,1.0
90194,5,30,0,1.0
23204,5,30,0,1.0
21930,5,30,0,1.0
84564,5,30,0,1.0
22894,5,30,0,1.0
20692,5,30,0,1.0
90035A,5,30,0,1.0
51008,5,30,0,1.0
84510F,5,30,0,1.0
23192,5,30,0,1.0
37506,5,30,0,1.0
22597,5,30,0,1.0
90182C,5,30,0,1.0
84711A,5,30,0,1.0
84874B,5,30,0,1.0
85162C,5,30,0,1.0
90014C,5,30,0,1.0
21824,5,30,0,1.0
84816,5,30,0,1.0
90064B,5,30,0,1.0
22274,5,30,0,1.0
47568,5,30,0,1.0
21651,5,30,0,1.0
35265,5,30,0,1.0
90124A,5,30,0,1.0
90065B,5,30,0,1.0
90011A,5,30,0,0.9781409388987197
90024D,5,30,0,1.0
47590B,5,30,0,1.0
22361,5,30,0,1.0
23322,5,30,0,1.0
23201,5,30,0,1.0
84906,5,30,0,1.0
84563B,5,30,0,1.0
85135C,5,30,0,1.0
21471,5,30,0,1.0
85015,5,30,0,1.0
22745,5,30,0,1.0
20894,5,30,0,1.0
90016B,5,30,0,1.0
16156L,5,30,0,1.0
79323S,5,30,0,1.0
85099B,5,30,0,1.0
22487,5,30,0,1.0
22349,5,30,0,1.0
84199,5,30,0,1.0
23240,5,30,0,1.0
23307,5,30,0,1.0
22371,5,30,0,1.0
90054,5,30,0,1.0
22070,5,30,0,1.0
21801,5,30,0,1.0
23000,5,30,0,1.0
23184,5,30,0,1.0
21115,5,30,0,1.0
21277,5,30,0,1.0
21529,5,30,0,1.0
90003E,5,30,0,1.0
84251F,5,30,0,1.0
20836,5,30,0,1.0
84595E,5,30,0,1.0
37489A,5,30,0,1.0
23147,5,30,0,1.0
21274,5,30,0,1.0
82482,5,30,0,1.0
21918,5,30,0,1.0
23077,5,30,0,1.0
21085,5,30,0,1.0
84313A,5,30,0,1.0
23133,5,30,0,1.0
47505,5,30,0,1.0
23174,5,30,0,1.0
21282,5,30,0,1.0
21931,5,30,0,1.0
22365,5,30,0,1.0
82582,5,30,0,1.0
21519,5,30,0,1.0
84884A,5,30,0,1.0
21672,5,30,0,1.0
21259,5,30,0,1.0
20724,5,30,0,1.0
90023,5,30,0,1.0
20725,5,30,0,1.0
22286,5,30,0,1.0
23224,5,30,0,1.0
90162D,5,30,0,1.0
85064,5,30,0,1.0
22077,5,30,0,1.0
35637C,5,30,0,1.0
23047,5,30,0,1.0
22120,5,30,0,1.0
20727,5,30,0,1.0
21578,5,30,0,1.0
23231,5,30,0,1.0
22993,5,30,0,1.0
90042C,5,30,0,1.0
77101A,5,30,0,1.0
23109,5,30,0,1.0
84970S,5,30,0,1.0
20977,5,30,0,1.0
22027,5,30,0,1.0
21756,5,30,0,1.0
22028,5,30,0,1.0
20671,5,30,0,1.0
20975,5,30,0,1.0
22297,5,30,0,1.0
21652,5,30,0,1.0
90003C,5,30,0,1.0
22902,5,30,0,1.0
22846,5,30,0,1.0
44234,5,30,0,1.0
22554,5,30,0,1.0
20663,5,30,0,1.0
21768,5,30,0,1.0
22157,5,30,0,1.0
22107,5,30,0,1.0
90123A,5,30,0,1.0
23245,5,30,0,1.0
20762,5,30,0,1.0
23145,5,30,0,1.0
90194,5,45,0,1.0
23204,5,45,0,1.0
21930,5,45,0,1.0
84564,5,45,0,1.0
22894,5,45,0,1.0
20692,5,45,0,1.0
90035A,5,45,0,1.0
51008,5,45,0,1.0
84510F,5,45,0,1.0
23192,5,45,0,1.0
37506,5,45,0,1.0
22597,5,45,0,1.0
90182C,5,45,0,1.0
84711A,5,45,0,1.0
84874B,5,45,0,1.0
85162C,5,45,0,1.0
90014C,5,45,0,1.0
21824,5,45,0,1.0
84816,5,45,0,1.0
90064B,5,45,0,1.0
22274,5,45,0,1.0
47568,5,45,0,1.0
21651,5,45,0,1.0
35265,5,45,0,1.0
90124A,5,45,0,1.0
90065B,5,45,0,1.0
90011A,5,45,0,0.9781409388987197
90024D,5,45,0,1.0
47590B,5,45,0,1.0
22361,5,45,0,1.0
23322,5,45,0,1.0
23201,5,45,0,1.0
84906,5,45,0,1.0
84563B,5,45,0,1.0
85135C,5,45,0,1.0
21471,5,45,0,1.0
85015,5,45,0,1.0
22745,5,45,0,1.0
20894,5,45,0,1.0
90016B,5,45,0,1.0
16156L,5,45,0,1.0
79323S,5,45,0,1.0
85099B,5,45,0,1.0
22487,5,45,0,1.0
22349,5,45,0,1.0
84199,5,45,0,1.0
23240,5,45,0,1.0
23307,5,45,0,1.0
22371,5,45,0,1.0
90054,5,45,0,1.0
22070,5,45,0,1.0
21801,5,45,0,1.0
23000,5,45,0,1.0
23184,5,45,0,1.0
21115,5,45,0,1.0
21277,5,45,0,1.0
21529,5,45,0,1.0
90003E,5,45,0,1.0
84251F,5,45,0,1.0
20836,5,45,0,1.0
84595E,5,45,0,1.0
37489A,5,45,0,1.0
23147,5,45,0,1.0
21274,5,45,0,1.0
82482,5,45,0,1.0
21918,5,45,0,1.0
23077,5,45,0,1.0
21085,5,45,0,1.0
84313A,5,45,0,1.0
23133,5,45,0,1.0
47505,5,45,0,1.0
23174,5,45,0,1.0
21282,5,45,0,1.0
21931,5,45,0,1.0
22365,5,45,0,1.0
82582,5,45,0,1.0
21519,5,45,0,1.0
84884A,5,45,0,1.0
21672,5,45,0,1.0
21259,5,45,0,1.0
20724,5,45,0,1.0
