family,L,PCR,order_churn,fill,cover_days,orders_per_year
Floating window (both),7,0.10760140893080332,0.8585675430643699,1.0,4.2578336152612675,45.28400597907324
Floating window (both),14,0.06124304056357232,0.9556737588652482,1.0,8.033474113879898,22.91479820627803
Floating window (both),28,0.03806385637995682,0.9852941176470589,1.0,15.91250034962152,12.548579970104633
Floating window (both),56,0.021815702761049882,0.9896907216494846,1.0,26.47937511639754,6.001494768310912
Fixed order quantity (LN),7,0.11600954436995796,0.5970760233918129,1.0,4.26814896239087,51.83109118086696
Fixed order quantity (LN),28,0.03215543688217248,0.5871369294605809,1.0,12.596997990791465,14.185351270553065
Economic order quantity (LN),10,0.32280422679240994,0.5536932371857338,1.0,1.2052366686402778,216.05381165919283
Economic order quantity (LN),100,0.324281331666856,0.7862258953168044,1.0,1.985203924812154,141.30792227204782
Economic order quantity (LN),1000,0.18736507215089193,0.92071468453378,1.0,4.342794591074607,63.83408071748879
Floating window (both),7,0.07419611407794569,0.7223451327433629,1.0,4.842532115855375,38.191330343796714
Floating window (both),14,0.04499488694466538,0.8048780487804879,1.0,8.242482831827733,20.732436472346787
Floating window (both),28,0.03033746165208499,0.9270833333333334,1.0,16.662744741014706,10.911808669656203
Floating window (both),56,0.01772525849335303,0.9570552147239264,1.0,30.208955240496422,5.4559043348281016
Fixed order quantity (LN),7,0.11714577888876264,0.5983749274521184,1.0,5.081430572705681,52.37668161434978
Fixed order quantity (LN),28,0.03840472673559823,0.6706349206349206,1.0,13.514913382870109,14.185351270553065
Economic order quantity (LN),10,0.15884558572889446,0.40734265734265734,1.0,2.4092034192527167,138.03437967115096
Economic order quantity (LN),100,0.12646290194296103,0.5961435457953936,1.0,4.257497615462602,68.19880418535126
Economic order quantity (LN),1000,0.07249176229973867,0.8948106591865358,1.0,10.81687221675441,24.55156950672646
Floating window (both),7,0.11896375411885013,0.8322734499205088,1.0,2.395441032546962,51.285500747384155
Floating window (both),14,0.06612884899443246,0.9107981220657277,1.0,5.685853996043236,26.18834080717489
Floating window (both),28,0.03942733780252244,0.9971264367816092,1.0,13.593080071971286,13.094170403587444
Floating window (both),56,0.02499715941370299,1.0,1.0,28.27259410668366,6.547085201793722
Fixed order quantity (LN),7,0.13555277809339847,0.6339001062699257,1.0,3.6587102233606315,54.01345291479821
Fixed order quantity (LN),28,0.029314850585160777,0.57847533632287,1.0,14.143015156096059,13.094170403587444
Economic order quantity (LN),10,0.4607430973752983,0.6253855644663788,1.0,0.06547204585614204,268.4304932735426
Economic order quantity (LN),100,0.4410862401999773,0.777332799359231,1.0,0.5850678783545494,194.2301943198804
Economic order quantity (LN),1000,0.28542211112373594,0.952959028831563,1.0,2.2544052564339943,91.65919282511211
Floating window (both),7,0.06601522554255199,0.832378223495702,1.0,7.317175586408302,29.46188340807175
Floating window (both),14,0.03954096125440291,0.925531914893617,1.0,10.99458294625652,15.822122571001495
Floating window (both),28,0.024201795250539712,0.9953271028037384,1.0,19.44493102613436,8.729446935724962
Floating window (both),56,0.014089308033178047,0.9841269841269841,1.0,33.91911370766992,4.364723467862481
Fixed order quantity (LN),7,0.07215089194409727,0.42276964047936083,1.0,7.155770306213516,51.285500747384155
Fixed order quantity (LN),28,0.03533689353482559,0.6412371134020619,1.0,13.098969110398867,13.639760837070254
Economic order quantity (LN),10,0.19122826951482785,0.7092288242730721,1.0,4.974869592429009,100.93423019431988
Economic order quantity (LN),100,0.19850017043517781,0.7862286228622862,1.0,5.321253394474002,92.75037369207773
Economic order quantity (LN),1000,0.14952846267469605,0.9293785310734464,1.0,7.404769071524639,54.01345291479821
Floating window (both),7,0.11271446426542438,0.8280467445742905,1.0,2.8521511214806123,49.10313901345292
Floating window (both),14,0.06260652198613793,0.8973941368078175,1.0,5.733896672754531,25.097159940209266
Floating window (both),28,0.03908646744688104,0.9745042492917847,1.0,13.628609659230296,13.094170403587444
Floating window (both),56,0.02374730144301784,0.9812206572769953,1.0,24.422033799655704,7.638266068759342
Fixed order quantity (LN),7,0.11101011248721736,0.5960951799877975,1.0,3.4059091025898454,48.5575485799701
Fixed order quantity (LN),28,0.03442790591978184,0.6502145922746781,1.0,13.335654991976993,12.548579970104633
Economic order quantity (LN),10,0.3290535166458357,0.5696302124311565,1.0,0.11449638700564232,210.0523168908819
Economic order quantity (LN),100,0.32280422679240994,0.773061224489796,1.0,0.931886135916244,138.5799701046338
Economic order quantity (LN),1000,0.1856607203726849,0.9494479953515398,1.0,3.23404612301783,57.28699551569507
Floating window (both),7,0.04794909669355755,0.83399209486166,1.0,10.754955574128205,20.732436472346787
Floating window (both),14,0.02908760368139984,0.927536231884058,1.0,14.47991584798522,10.911808669656203
Floating window (both),28,0.01931598681967958,0.9883720930232558,1.0,20.976288734991144,6.001494768310912
Floating window (both),56,0.011816838995568686,0.9719626168224299,1.0,35.16370843915916,3.273542600896861
Fixed order quantity (LN),7,0.048289967049198954,0.36418166238217653,1.0,9.144991111997333,43.101644245142005
Fixed order quantity (LN),28,0.0310192023633678,0.5858369098712446,1.0,13.278025491668489,13.639760837070254
Economic order quantity (LN),10,0.1112373593909783,0.5326441784548422,1.0,7.966065372630958,78.01943198804186
Economic order quantity (LN),100,0.12134984660833996,0.7295081967213115,1.0,8.534797655646877,62.742899850523166
Economic order quantity (LN),1000,0.08044540393137144,0.9159120310478654,1.0,10.95605895637986,30.553064275037368
Floating window (both),7,0.03147369617088967,0.7824858757062146,1.0,12.801753629062132,15.276532137518684
Floating window (both),14,0.018975116464038176,0.8608247422680413,1.0,17.07260552248721,8.183856502242152
Floating window (both),28,0.011475968639927281,0.9619047619047619,1.0,24.151035402365682,4.364723467862481
Floating window (both),56,0.0069310305647085554,0.9682539682539683,1.0,32.604405151106405,2.7279521674140508
Fixed order quantity (LN),7,0.052039540961254405,0.44509232264334303,1.0,10.669941336102482,37.6457399103139
Fixed order quantity (LN),28,0.03215543688217248,0.6461187214611872,1.0,13.390419661961976,12.548579970104633
Economic order quantity (LN),10,0.09692080445403932,0.5911295911295912,1.0,9.669189181946638,61.65171898355755
Economic order quantity (LN),100,0.08146801499829565,0.6256544502617801,1.0,10.348969816158263,46.92077727952167
Economic order quantity (LN),1000,0.0645381206681059,0.9627118644067797,1.0,12.441364482714214,22.369207772795217
Floating window (both),7,0.08169526190205659,0.72920892494929,1.0,2.275973704472382,40.91928251121076
Floating window (both),14,0.051471423701852065,0.8311926605504587,1.0,5.378307065424237,22.369207772795217
Floating window (both),28,0.03692762186115214,0.9672619047619048,1.0,11.473086775711774,13.094170403587444
Floating window (both),56,0.020565844790364732,0.9731182795698925,0.9998548429660945,24.84630743594804,6.547085201793722
Fixed order quantity (LN),7,0.07328712646290195,0.4597291518175339,1.0,3.409308519775245,45.82959641255606
Fixed order quantity (LN),28,0.023633677991137372,0.5060827250608273,1.0,13.558785350866428,12.548579970104633
Economic order quantity (LN),10,0.13918872855357345,0.47097270280661285,1.0,0.34783755794047333,107.4813153961136
Economic order quantity (LN),100,0.11112373593909783,0.5528547201808932,1.0,2.282802233710676,69.2899850523169
Economic order quantity (LN),1000,0.07419611407794569,0.8361075544174136,1.0,8.086253866593117,27.279521674140508
Floating window (both),7,0.1169185319850017,0.8372660699755899,1.0,2.738064234882954,50.73991031390135
Floating window (both),14,0.06590160209067152,0.9220985691573926,1.0,6.4657302549287925,25.642750373692078
Floating window (both),28,0.04010907851380525,0.9943661971830986,1.0,14.192301664112888,13.094170403587444
Floating window (both),56,0.022270196568571755,0.9949238578680203,1.0,29.418980872553004,6.547085201793722
Fixed order quantity (LN),7,0.128394500624929,0.6111411573823688,1.0,3.6076449047524086,55.65022421524664
Fixed order quantity (LN),28,0.03704124531303261,0.657258064516129,1.0,13.547854172315937,13.639760837070254
Economic order quantity (LN),10,0.45222133848426316,0.6184926184926185,1.0,0.09073628838356423,272.24962630792226
Economic order quantity (LN),100,0.4381320304510851,0.7976830781961108,1.0,0.5868124884268456,191.50224215246638
Economic order quantity (LN),1000,0.2815589137598,0.9694835680751174,1.0,2.474483080471224,89.47683109118087
Floating window (both),7,0.03295080104533576,0.90625,1.0,13.020249386466656,13.639760837070254
Floating window (both),14,0.020224974434723327,0.9888888888888889,1.0,17.371468095054666,7.0926756352765326
Floating window (both),28,0.011475968639927281,0.9901960784313726,1.0,25.503847234197895,3.819133034379671
Floating window (both),56,0.005681172594023407,1.0,1.0,44.27690670590685,1.6367713004484306
Fixed order quantity (LN),7,0.058629701170321555,0.42088091353996737,1.0,11.224034517761575,44.738415545590435
